wikidata,type,text
https://www.wikidata.org/wiki/Q6674,mit,diablo
https://www.wikidata.org/wiki/Q182559,mit,sirena
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5011,mit,Cupido
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q235113,mit,ángel
https://www.wikidata.org/wiki/Q235113,mit,ángel
https://www.wikidata.org/wiki/Q194077,mit,serafín
https://www.wikidata.org/wiki/Q43423,person,Isopo 
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q1614795,place,Lerma
https://www.wikidata.org/wiki/Q174278,mit,Medea
https://www.wikidata.org/wiki/Q75459,mit,Delfos
https://www.wikidata.org/wiki/Q1048,person,César
https://www.wikidata.org/wiki/Q1048,person,César
https://www.wikidata.org/wiki/Q5011,mit,Cupido
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q189901,place,Argos
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q160730,mit,Medusa
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesucristo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q174546,mit,Antecristo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1821239,mit,día del Juicio
https://www.wikidata.org/wiki/Q302,mit,Cristo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q828579,mit,Salmacis
https://www.wikidata.org/wiki/Q207368,mit,Eco
https://www.wikidata.org/wiki/Q204146,mit,Hermafrodito
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q81018,mit,Judas
https://www.wikidata.org/wiki/Q5011,mit,Cupido
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q5011,mit,Amor
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q302,mit,Jesús
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q181360,mit,harpias
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q1944965,person,infanta Urraca
https://www.wikidata.org/wiki/Q6674,mit,diablo
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q825,mit,Dios
https://www.wikidata.org/wiki/Q623407,place,Numancia
https://www.wikidata.org/wiki/Q509817,person,CIPIÓN
https://www.wikidata.org/wiki/Q130614,place,Senado romano
https://www.wikidata.org/wiki/Q1503611,event,Guerra
https://www.wikidata.org/wiki/Q156173,person,JUGURTA
https://www.wikidata.org/wiki/Q509817,person,Cipión
https://www.wikidata.org/wiki/Q509817,person,CIPIÓN
https://www.wikidata.org/wiki/Q177975,person,Mario
https://www.wikidata.org/wiki/Q177975,person,MARIO
https://www.wikidata.org/wiki/Q177975,person,MARIO
https://www.wikidata.org/wiki/Q156173,person,JUGURTA
https://www.wikidata.org/wiki/Q3134,place,Calisto
https://www.wikidata.org/wiki/Q3134,place,Calisto
https://www.wikidata.org/wiki/Q29,place,España
https://www.wikidata.org/wiki/Q47652,mit,Venus
https://www.wikidata.org/wiki/Q112,mit,Marte
https://www.wikidata.org/wiki/Q623407,place,Numancia
https://www.wikidata.org/wiki/Q1503611,event,guerra
https://www.wikidata.org/wiki/Q47652,mit,Venus
https://www.wikidata.org/wiki/Q645312,mit,Baco
https://www.wikidata.org/wiki/Q623407,place,Numancia
https://www.wikidata.org/wiki/Q112,mit,Marte
https://www.wikidata.org/wiki/Q509817,person,Cipión
https://www.wikidata.org/wiki/Q274545,person,QUINTO FABIO
https://www.wikidata.org/wiki/Q274545,person,QUINTO FABIO
https://www.wikidata.org/wiki/Q48444,mit,fénix
